EA,T,value
0,7322,13031.320794196963
0,7323,13031.320794196961
0,7324,13031.320794196961
0,7325,13031.320794196963
0,7326,13031.320794196961
0,7327,727.8126921289434
0,7328,6.670978597864488e-09
0,7329,6.671455227997318e-09
0,7330,1706.5625534119151
0,7331,8423.782786151112
0,7332,13031.320794196961
0,7333,13031.320794196961
0,7334,9614.239523352142
0,7335,6.67158800191613e-09
0,7336,6.670804464936224e-09
0,7337,6.670760995783894e-09
0,7338,6.670839413948461e-09
0,7339,6.671514659074727e-09
0,7340,1995.9684684518684
0,7341,6358.698893370839
0,7342,7449.80738654263
0,7343,12321.249289372801
0,7344,13031.320794196963
0,7345,13031.320794196961
0,7346,13031.320794196961
0,7347,13031.320794196961
0,7348,13024.570001047929
0,7349,7123.38222594765
0,7350,6.6711773949767845e-09
0,7351,6.6707262619781645e-09
0,7352,6.670697839569085e-09
0,7353,6.670712172250855e-09
0,7354,6.670732823697614e-09
0,7355,6.6707306533933744e-09
0,7356,6.670723301030502e-09
0,7357,6.670701610078651e-09
0,7358,6.670661112290796e-09
0,7359,6.670543957477418e-09
0,7360,6.670304214489214e-09
0,7361,6.670487432851266e-09
0,7362,6.670674042153868e-09
0,7363,6.67071473400036e-09
0,7364,6.67077606537247e-09
0,7365,6.670907034324211e-09
0,7366,6.671231213514783e-09
0,7367,1686.2593387572585
0,7368,7793.501270552634
0,7369,10804.127354159513
0,7370,11890.365566129176
0,7371,10983.968331726235
0,7372,7296.420235449257
0,7373,430.23815649947915
0,7374,6.670785213270702e-09
0,7375,6.6707041030152e-09
0,7376,6.670689349611318e-09
0,7377,6.67071196515384e-09
0,7378,6.670725538574758e-09
0,7379,6.670739609567393e-09
0,7380,6.670758727072213e-09
0,7381,6.6707337165914664e-09
0,7382,6.670702425815425e-09
0,7383,6.6706441933811155e-09
0,7384,6.670170003231723e-09
0,7385,6.663721948363796e-09
0,7386,6.6704985776186595e-09
0,7387,6.670666999560261e-09
0,7388,6.670702434414504e-09
0,7389,6.670722357577253e-09
0,7390,6.670749397055121e-09
0,7391,6.670829220625225e-09
0,7392,6.6711206975516755e-09
0,7393,6.671571965784188e-09
0,7394,6.671502105411174e-09
0,7395,6.671269042822747e-09
0,7396,6.671052414830889e-09
0,7397,6.6708587692035714e-09
0,7398,6.67072826226341e-09
0,7399,6.6706869097388425e-09
0,7400,6.6706852908107e-09
0,7401,6.6707208139867616e-09
0,7402,6.67077774043518e-09
0,7403,6.6709402628295736e-09
0,7404,6.671362391329602e-09
0,7405,6.671076571924248e-09
0,7406,6.670768334260509e-09
0,7407,6.6706967914420456e-09
0,7408,6.6705826639447505e-09
0,7409,6.6704001887660184e-09
0,7410,6.670615870989686e-09
0,7411,6.670673435584257e-09
0,7412,6.6706965538645505e-09
0,7413,6.670715008207795e-09
0,7414,6.6707379711591864e-09
0,7415,6.670787426361117e-09
0,7416,6.67089535671973e-09
0,7417,6.670962321203988e-09
0,7418,6.670950322769685e-09
0,7419,6.6708939408660425e-09
0,7420,6.670808108036788e-09
0,7421,6.67074527976349e-09
0,7422,6.6706920296904785e-09
0,7423,6.670530645629592e-09
0,7424,6.670482884462216e-09
0,7425,6.67066435669634e-09
0,7426,6.670696544845344e-09
0,7427,6.6707104189578755e-09
0,7428,6.670730510797072e-09
0,7429,6.670720942892471e-09
0,7430,6.6706847689435364e-09
0,7431,6.670365299202788e-09
0,7432,2.6337536145424405e-09
0,7433,4.667755533176069e-11
0,7434,2.634043843035924e-09
0,7435,6.670302750592664e-09
0,7436,6.6706336070040985e-09
0,7437,6.6706833094845925e-09
0,7438,6.670705356229244e-09
0,7439,6.6707331050336785e-09
0,7440,6.670761230895676e-09
0,7441,6.670804829059594e-09
0,7442,6.6708407852609215e-09
0,7443,6.670853338607684e-09
0,7444,6.6708416095036e-09
0,7445,6.670808932270997e-09
0,7446,6.670752993202109e-09
0,7447,6.67072367957969e-09
0,7448,6.6707308824844465e-09
0,7449,6.670799448951953e-09
0,7450,6.6711960869898505e-09
0,7451,574.0850135642664
0,7452,1286.1161732040578
0,7453,6.6720538435165186e-09
0,7454,6.670777324553014e-09
0,7455,6.6706880364502104e-09
0,7456,6.670526492773588e-09
0,7457,6.6686955747160076e-09
0,7458,6.6700617132381664e-09
0,7459,6.670503815916045e-09
0,7460,6.6706276012304885e-09
0,7461,6.670664109778613e-09
0,7462,6.670680246561786e-09
0,7463,6.670699747471835e-09
0,7464,6.670715804379802e-09
0,7465,6.670729341932262e-09
0,7466,6.6707378380403355e-09
0,7467,6.67074360955682e-09
0,7468,6.670750424949932e-09
0,7469,6.6707475110888305e-09
0,7470,6.6707308299887325e-09
0,7471,6.670714776141096e-09
0,7472,6.670727805517834e-09
0,7473,6.670810985876119e-09
0,7474,6.670972372855881e-09
0,7475,6.671019144014537e-09
0,7476,6.671004041391676e-09
0,7477,6.6708649385612665e-09
0,7478,6.670732942108585e-09
0,7479,6.670679525663056e-09
0,7480,6.6706005130956594e-09
0,7481,6.670453964465325e-09
0,7482,6.6705295943880126e-09
0,7483,6.67062178568862e-09
0,7484,6.6706678436633215e-09
0,7485,6.670690091878995e-09
0,7486,6.670704036418081e-09
0,7487,6.670725014973718e-09
0,7488,6.67073756168906e-09
0,7489,6.670748305881868e-09
0,7490,6.6707511014438064e-09
0,7491,6.670749028106204e-09
0,7492,6.670738167220209e-09
0,7493,6.6707161963078755e-09
0,7494,6.6706713886834e-09
0,7495,6.670158797772724e-09
0,7496,6.665593618303023e-09
0,7497,6.670327796604749e-09
0,7498,6.670583411183664e-09
0,7499,6.670636859233686e-09
0,7500,6.670673595620121e-09
0,7501,6.670674458323178e-09
0,7502,6.670624674973907e-09
0,7503,6.669726872406618e-09
0,7504,2.633985484739718e-09
0,7505,3.442241535534529e-10
0,7506,2.634093886944811e-09
0,7507,6.670168991573687e-09
0,7508,6.670601353835999e-09
0,7509,6.670669268527746e-09
0,7510,6.670694045348525e-09
0,7511,6.670713215847115e-09
0,7512,6.670737539080057e-09
0,7513,6.6707526541000915e-09
0,7514,6.670757984232789e-09
0,7515,6.67075065087903e-09
0,7516,6.670736128068856e-09
0,7517,6.670714832246017e-09
0,7518,6.670667610144808e-09
0,7519,6.670007688838128e-09
0,7520,2.634077663396241e-09
0,7521,2.635149822481811e-09
0,7522,6.667178932354179e-09
0,7523,6.669303996447447e-09
0,7524,6.670409011971958e-09
0,7525,6.670449529049295e-09
0,7526,6.669968176234293e-09
0,7527,2.6340973139482125e-09
0,7528,2.6339198604373425e-09
0,7529,5.874853137123663e-11
0,7530,2.634017205612832e-09
0,7531,6.669237621023783e-09
0,7532,6.670522014379953e-09
0,7533,6.6706438665212656e-09
0,7534,6.670680095527341e-09
