IA,T,value
0,6293,2.1746801750356214e-06
0,6294,2.174656873559855e-06
0,6295,1.3160158299518367e-06
0,6296,5.150584996697666e-07
0,6297,5.150580539988142e-07
0,6298,5.150579319630776e-07
0,6299,5.150578893789231e-07
0,6300,5.15057878384571e-07
0,6301,5.150578963735992e-07
0,6302,5.150579706305518e-07
0,6303,5.150583098273214e-07
0,6304,2.1744096182095465e-06
0,6305,2.1747245103035003e-06
0,6306,2.17472815191677e-06
0,6307,2.174727872350469e-06
0,6308,2.1747267621181204e-06
0,6309,2.1747246208979765e-06
0,6310,2.1747201496653476e-06
0,6311,2.174714953699728e-06
0,6312,2.1747116785567674e-06
0,6313,2.1747128667703574e-06
0,6314,2.1747155128661565e-06
0,6315,2.174716972521253e-06
0,6316,2.174721504658722e-06
0,6317,2.174725734815095e-06
0,6318,2.1747270732167066e-06
0,6319,2.1747238949654246e-06
0,6320,2.174708671441594e-06
0,6321,1.3160436629817713e-06
0,6322,1.316031881724378e-06
0,6323,1.316030856607104e-06
0,6324,1.3160306368933169e-06
0,6325,1.3160309478711229e-06
0,6326,1.316032774301189e-06
0,6327,2.1746068569817364e-06
0,6328,2.1747274031561244e-06
0,6329,2.174734053270828e-06
0,6330,2.1747358419164486e-06
0,6331,2.174734587476754e-06
0,6332,2.174732752739097e-06
0,6333,2.1747303838265224e-06
0,6334,2.1747281113023396e-06
0,6335,2.174725470317036e-06
0,6336,2.174723254536959e-06
0,6337,2.1747229354948574e-06
0,6338,2.174724153126105e-06
0,6339,2.1747257081012206e-06
0,6340,2.174727420905598e-06
0,6341,2.174730120171756e-06
0,6342,2.174732090285932e-06
0,6343,2.1747308221208884e-06
0,6344,2.1747238678441073e-06
0,6345,2.174156848102184e-06
0,6346,1.644748058794894e-06
0,6347,1.6447469436812502e-06
0,6348,1.6447467374460477e-06
0,6349,1.6447474558171568e-06
0,6350,1.6447534539802775e-06
0,6351,2.174722542344718e-06
0,6352,2.1747336819862278e-06
0,6353,2.1747560825311884e-06
0,6354,2.174761043728657e-06
0,6355,2.174760372145859e-06
0,6356,2.1747566416026407e-06
0,6357,2.1747403822433304e-06
0,6358,2.17473384641286e-06
0,6359,2.1747310866187305e-06
0,6360,2.1747292968310114e-06
0,6361,2.1747285762229764e-06
0,6362,2.1747280277519855e-06
0,6363,2.174728187515464e-06
0,6364,2.174729354499942e-06
0,6365,2.1747313043278278e-06
0,6366,2.1747338509656416e-06
0,6367,2.174737565319119e-06
0,6368,2.1747355512416293e-06
0,6369,2.1747315167091556e-06
0,6370,2.1747278915304393e-06
0,6371,2.174714787208992e-06
0,6372,2.1746389537666017e-06
0,6373,2.174650853027692e-06
0,6374,2.1747176412987863e-06
0,6375,2.17472953914174e-06
0,6376,2.1747354885816826e-06
0,6377,2.1747614171517375e-06
0,6378,2.174765933550928e-06
0,6379,2.1747633025955785e-06
0,6380,2.1747557817628806e-06
0,6381,2.1747372466679807e-06
0,6382,2.174732273851768e-06
0,6383,2.174729048544377e-06
0,6384,2.1747253784408765e-06
0,6385,2.174718990085754e-06
0,6386,2.1747078891073274e-06
0,6387,2.1746885083939304e-06
0,6388,2.1746825844596272e-06
0,6389,2.174708215474082e-06
0,6390,2.1747238143515236e-06
0,6391,2.1747273777081647e-06
0,6392,2.1747236717921652e-06
0,6393,2.1746790607351293e-06
0,6394,1.6447517810699863e-06
0,6395,1.6447483286287454e-06
0,6396,1.6447473029531073e-06
0,6397,1.64474734277195e-06
0,6398,1.644749218463826e-06
0,6399,2.1746990511227297e-06
0,6400,2.1747296651288515e-06
0,6401,2.1747347348224314e-06
0,6402,2.1747350313139954e-06
0,6403,2.174733380792696e-06
0,6404,2.174732020992186e-06
0,6405,2.1747299102660954e-06
0,6406,2.174723368030375e-06
0,6407,2.174687082687806e-06
0,6408,1.6447535268820316e-06
0,6409,1.6447495269744216e-06
0,6410,1.6447488930977899e-06
0,6411,1.6447489294298383e-06
0,6412,1.6447497298212755e-06
0,6413,1.6447520267803394e-06
0,6414,2.1744443879621617e-06
0,6415,2.1747211553443946e-06
0,6416,2.174723914962016e-06
0,6417,2.1747140207003905e-06
0,6418,2.1746838056826197e-06
0,6419,2.174676031677005e-06
0,6420,2.174666105409298e-06
0,6421,2.174701868003573e-06
0,6422,2.174718463845895e-06
0,6423,2.1747260939937105e-06
0,6424,2.1747319558325026e-06
0,6425,2.174740756552638e-06
0,6426,2.1747414754177095e-06
0,6427,2.1747357310539575e-06
0,6428,2.1747330581336956e-06
0,6429,2.1747301646452954e-06
0,6430,2.1747260941025644e-06
0,6431,2.1747192377561276e-06
0,6432,2.1747075153802364e-06
0,6433,2.1746786743575674e-06
0,6434,2.174521225386172e-06
0,6435,2.1737268941579915e-06
0,6436,2.174580018685394e-06
0,6437,2.174690894566787e-06
0,6438,2.174710333108275e-06
0,6439,2.174720213913e-06
0,6440,2.1747236971995758e-06
0,6441,2.1747243652387675e-06
0,6442,2.1747230526040877e-06
0,6443,2.1747221899336925e-06
0,6444,2.1747183189010748e-06
0,6445,2.174705662530982e-06
0,6446,2.1747102306366416e-06
0,6447,2.174719635887959e-06
0,6448,2.1747259568995984e-06
0,6449,2.1747302439642253e-06
0,6450,2.174730814392045e-06
0,6451,2.174731097933898e-06
0,6452,2.174730546375533e-06
0,6453,2.174729383076692e-06
0,6454,2.1747282837403584e-06
0,6455,2.1747277686951037e-06
0,6456,2.174726039288555e-06
0,6457,2.1747245712521422e-06
0,6458,2.1747234122163842e-06
0,6459,2.1747242632652163e-06
0,6460,2.174724915089731e-06
0,6461,2.174726188018325e-06
0,6462,2.1747265228229916e-06
0,6463,2.1747247331714483e-06
0,6464,2.1747168138150884e-06
0,6465,2.1746984563667145e-06
0,6466,2.174650839793053e-06
0,6467,2.17466082284715e-06
0,6468,2.1746393048605386e-06
0,6469,2.1738716554694365e-06
0,6470,2.174617257838995e-06
0,6471,2.1747070445459274e-06
0,6472,2.1747244067138374e-06
0,6473,2.1747301982967624e-06
0,6474,2.174730788336932e-06
0,6475,2.1747292246068837e-06
0,6476,2.1747250297508326e-06
0,6477,2.1747134826978053e-06
0,6478,2.174666029112907e-06
0,6479,1.6451583994046923e-06
0,6480,1.6448139703894357e-06
0,6481,1.64482329201689e-06
0,6482,2.1745187496369656e-06
0,6483,2.174692831606725e-06
0,6484,2.174715454345043e-06
0,6485,2.1747265664257e-06
0,6486,2.1747323419806473e-06
0,6487,2.174734810095119e-06
0,6488,2.174733345001881e-06
0,6489,2.174729678073792e-06
0,6490,2.1747256985548205e-06
0,6491,2.1747187276635084e-06
0,6492,2.1747060559931548e-06
0,6493,2.1747199127539456e-06
0,6494,2.1747288107617103e-06
0,6495,2.174733001359232e-06
0,6496,2.1747450645469204e-06
0,6497,2.1748323852288556e-06
0,6498,2.1748379913596495e-06
0,6499,2.1748292986494694e-06
0,6500,2.1747790251403724e-06
0,6501,2.174742484766781e-06
0,6502,2.174734244312455e-06
0,6503,2.1747315856800262e-06
0,6504,2.1747294483124863e-06
0,6505,2.17472846678079e-06
0,6506,2.1747279829247793e-06
0,6507,2.1747283699621867e-06
0,6508,2.1747291332437687e-06
0,6509,2.1747314408544684e-06
0,6510,2.1747356349429044e-06
0,6511,2.1747380473723186e-06
0,6512,2.1747347609425965e-06
0,6513,2.174731407139684e-06
0,6514,2.1747294145302645e-06
0,6515,2.1747286285843034e-06
0,6516,2.1747261813218587e-06
0,6517,2.1747264803246517e-06
0,6518,2.17473060032153e-06
0,6519,2.1747358446102573e-06
0,6520,2.1747650032204625e-06
0,6521,2.1748394837236076e-06
0,6522,2.174837045034383e-06
0,6523,2.174829210483016e-06
0,6524,2.174792171380762e-06
0,6525,2.1747423083831336e-06
0,6526,2.1747345698493615e-06
0,6527,2.1747323904906714e-06
0,6528,2.174730745392768e-06
0,6529,2.1747299562427727e-06
0,6530,2.1747296452192134e-06
0,6531,2.1747297047137234e-06
0,6532,2.1747300798919105e-06
0,6533,2.1747321519161034e-06
0,6534,2.1747377904985862e-06
0,6535,2.1747480922023037e-06
0,6536,2.174740454134608e-06
0,6537,2.1747328883133746e-06
0,6538,2.174729668639932e-06
0,6539,2.1747269075668776e-06
0,6540,2.1747180857351577e-06
0,6541,2.1747130593151223e-06
0,6542,2.174724139997284e-06
0,6543,2.1747305507509394e-06
0,6544,2.174738952797576e-06
0,6545,2.174811037958333e-06
0,6546,2.1748060762827315e-06
0,6547,2.174765057411706e-06
