STO,T,value
1,716,7.05844096809716e-08
1,717,3.783916129781927e-09
1,718,2777.903504024562
1,719,11659.012300518436
1,720,22427.820691062097
1,721,31026.884423796546
1,722,37602.91564095528
1,723,43971.31147929365
1,724,50674.72042619519
1,725,61435.34846882837
1,726,72928.47618214822
1,727,76663.49599176862
1,728,70490.2170620629
1,729,56494.27733193078
1,730,47144.855404106944
1,731,43077.25545018802
1,732,44325.92262680216
1,733,46860.60568091365
1,734,46080.81449418352
1,735,35182.65322319931
1,736,8531.343942944266
1,737,1.7400092663061133e-06
1,738,1.1190661509648606e-06
1,739,7.929754146196281e-07
1,740,5.540411899926552e-07
1,741,3.3303338646490993e-07
1,742,4.949226171271967e-09
1,743,1711.8959284703733
1,744,8205.935887603273
1,745,17883.9409713979
1,746,28950.022351288197
1,747,41023.56714757337
1,748,52446.189680801595
1,749,63072.26801637256
1,750,72073.59437924168
1,751,72852.76553343852
1,752,68004.69858601752
1,753,62213.59277077736
1,754,58427.505697663364
1,755,53305.940624132156
1,756,52557.12151812433
1,757,54410.98897034955
1,758,54870.7925244274
1,759,54315.02594826886
1,760,48554.254253597195
1,761,36474.40259254685
1,762,17854.15629418629
1,763,4410.306030172319
1,764,2250.2912152825093
1,765,6034.302120644879
1,766,12469.312327731099
1,767,20619.377651653293
1,768,30309.015649865785
1,769,39492.83423210308
1,770,48735.595877086074
1,771,59336.94236758781
1,772,71297.72505535455
1,773,76663.49599176686
1,774,76663.49599177107
1,775,76663.49599117767
1,776,76663.49599089271
1,777,76663.49599068482
1,778,76663.49599051554
1,779,72984.15532256963
1,780,69010.2023373793
1,781,64604.228292950414
1,782,56242.114733969436
1,783,45716.26484647424
1,784,34305.803883017485
1,785,18737.82781187065
1,786,2949.11888091638
1,787,2.2080075681225886e-05
1,788,2.1933801997654073e-05
1,789,2.1786293357257958e-05
1,790,2.1637539385194193e-05
1,791,2.1571535687485432e-05
1,792,2.1535824551749405e-05
1,793,2.151749734539271e-05
1,794,2.1512211936070696e-05
1,795,2.1519162131850705e-05
1,796,2.1540371977470107e-05
1,797,2.13821902243852e-05
1,798,2.1222395251482146e-05
1,799,2.106108617628416e-05
1,800,2.089823116855835e-05
1,801,2.0733798089034305e-05
1,802,2.0567748922600132e-05
1,803,2.0400038965130013e-05
1,804,2.02306276321923e-05
1,805,2.0059469777570366e-05
1,806,1.988651004794853e-05
1,807,1.9711695353277076e-05
1,808,1.9534970023177972e-05
1,809,1.9356278198795485e-05
1,810,1.917556338451934e-05
1,811,1.899276696451166e-05
1,812,1.8807824632718906e-05
1,813,1.8620664416955923e-05
1,814,1.8431213205064023e-05
1,815,1.823944101888436e-05
1,816,1.816297174054779e-05
1,817,1.812226896397498e-05
1,818,1.810067853250108e-05
1,819,1.8092707394716523e-05
1,820,1.8096926678288355e-05
1,821,1.8114686857431672e-05
1,822,1.7904417020528363e-05
1,823,1.7691079911046764e-05
1,824,1.747464849304048e-05
1,825,1.7255013500857425e-05
1,826,1.7032043974806593e-05
1,827,1.6805592757636323e-05
1,828,1.6575541673630872e-05
1,829,1.649155336916168e-05
1,830,1.6253944759443348e-05
1,831,1.6011942900682682e-05
1,832,1.576557557277959e-05
1,833,1.551459894485671e-05
1,834,1.525880439003785e-05
